#UpdateLogicID,UpdateLogicName,CompanyClassID,AgentClassID,DllFileName,DllFunctionName,Remarks
LP_prod_02,品目生産上限考慮(前後倒し),CC003,AC004,,,品目生産上限を考慮した生産計画を立案(上限超過時は前後倒し)(オリジナル名称)
LP_prod_03,工場生産上限考慮(後ろ倒し),CC003,AC004,,,工場生産上限を考慮した生産計画を立案(上限超過時は後ろ倒し)(オリジナル名称)
LP_prod_04,工場生産上限考慮(前後倒し),CC003,AC004,,,工場生産上限を考慮した生産計画を立案(上限超過時は前後倒し)(オリジナル名称)
LP_prod_05,工場&品目&設備上限考慮(前後倒し),CC003,AC004,,,工場/設備/品目生産上限を同時に考慮した生産計画を立案(各上限超過時は前後倒し)(オリジナル名称)
LP_prod_06,供給計画依存(制約考慮無し&時分単位考慮),CC003,AC004,,,生産上限を考慮しない生産計画を立案(時分単位考慮)(オリジナル名称)
LP_prod_07,納期優先 工場&品目&設備上限考慮(前後倒し),CC003,AC004,,,納期優先、工場/品目カテゴリ/品目生産上限を同時に考慮した生産計画を立案(各上限超過時は前後倒し)(オリジナル名称)
LO_ExtApp,生産計画:外部アプリ連携,CC003,AC004,,,外部アプリ結果参照生産計画作成(オリジナル名称)
Prod_FWLevelingWithItemLimit,品目生産上限考慮(後ろ倒し),CC003,AC004,,,品目生産上限を考慮した生産計画を立案(上限超過時は後ろ倒し)(LP_prod_01)
Prod_LevelingWithItemLimit,品目生産上限考慮(前後倒し),CC003,AC004,,,品目生産上限を考慮した生産計画を立案(上限超過時は前後倒し)(LP_prod_02)
Prod_FWLevelingWithFctLimit,工場生産上限考慮(後ろ倒し),CC003,AC004,,,工場生産上限を考慮した生産計画を立案(上限超過時は後ろ倒し)(LP_prod_03)
Prod_LevelingWithFctLimit,工場生産上限考慮(前後倒し),CC003,AC004,,,工場生産上限を考慮した生産計画を立案(上限超過時は前後倒し)(LP_prod_04)
Prod_LevelingWithCategory&FctLimit,工場&品目&設備上限考慮(前後倒し),CC003,AC004,,,工場/設備/品目生産上限を同時に考慮した生産計画を立案(各上限超過時は前後倒し)(LP_prod_05)
Prod_TimeUnitW/OLimit,供給計画依存(制約考慮無し&時分単位考慮),CC003,AC004,,,生産上限を考慮しない生産計画を立案(時分単位考慮)(LP_prod_06)
Prod_BalancingWithDeliverDate&ItemCategory&Constraints,納期優先 工場&品目&設備上限考慮(前後倒し),CC003,AC004,,,納期優先、工場/品目カテゴリ/品目生産上限を同時に考慮した生産計画を立案(各上限超過時は前後倒し)(LP_prod_07)
Prod_LevelingWithDeliverDate&ProdLine,生産計画ロジック:納期優先&生産ライン振舞,CC003,AC004,,,生産計画ロジック:納期優先&生産ライン振舞
Prod_UtilizeExtApp,生産計画:外部アプリ連携,CC003,AC004,,,外部アプリ結果参照生産計画作成(LO_ExtApp)
LI_prod_01,生産計画依存(工場上限/生産品目上限無考慮),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮しない)(オリジナル名称)
LI_prod_02,生産計画依存(L007)(既存型),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮)(オリジナル名称)
LI_prod_03,生産計画依存(時分単位考慮),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮しない)(時分単位考慮)(オリジナル名称)
ProdInstruction_RefProdPlan&FctLimit,生産計画依存(工場上限/生産品目上限無考慮),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮しない)(LI_prod_01)
ProdInstruction_RefProdPlan,生産計画依存(L007)(既存型),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮)(LI_prod_02)
ProdInstruction_RefProdPlan(TimeUnit),生産計画依存(時分単位考慮),CC003,AC005,,,生産計画に従い、生産指示(工場生産上限/生産品目上限を考慮しない)(時分単位考慮)(LI_prod_03)
LP_proc_01,販売計画&安全在庫依存,CC002,AC006,,,販売計画および安全在庫を考慮した調達計画を立案(安全在庫は緊急輸送含む輸送手段で調達)(オリジナル名称)
LP_proc_02,生産計画&部品安全在庫依存,CC003,AC006,,,生産計画および安全在庫を考慮した調達計画を立案(安全在庫は緊急輸送含む輸送手段で調達)(オリジナル名称)
LP_proc_03,供給計画&安全在庫依存,CC004,AC006,,,供給計画および安全在庫を考慮した調達計画を立案(安全在庫は緊急輸送含む輸送手段で調達)(オリジナル名称)
LP_proc_04,販売計画&安全在庫依存(時系列考慮),CC002,AC006,,,販売計画および時系列安全在庫を考慮した調達計画を立案(オリジナル名称)
LP_proc_05,生産計画&安全在庫依存(時系列考慮),CC003,AC006,,,販売計画および時系列安全在庫を考慮した調達計画を立案(オリジナル名称)
LP_proc_06,供給計画&安全在庫依存(時系列考慮),CC004,AC006,,,販売計画および時系列安全在庫を考慮した調達計画を立案(オリジナル名称)
LP_proc_07,販売計画依存(時系列&調達先&制約考慮),CC002,AC006,,,販売計画、時系列安全在庫、調達先における制約項目を考慮した調達計画を立案(オリジナル名称)
LP_proc_08,生産計画依存(時系列&調達先&制約考慮),CC003,AC006,,,生産計画、時系列安全在庫、調達先における制約項目を考慮した調達計画を立案(オリジナル名称)
LP_proc_09,供給計画依存(時系列&調達先&制約考慮),CC004,AC006,,,供給計画、時系列安全在庫、調達先における制約項目を考慮した調達計画を立案(オリジナル名称)
LP_proc_10,販売計画依存(時系列&配分率&制約考慮),CC002,AC006,,,販売計画、時系列安全在庫、配分率を考慮した調達計画を立案(オリジナル名称)
LP_proc_11,生産計画依存(時系列&配分率&制約考慮),CC003,AC006,,,生産計画、時系列安全在庫、配分率を考慮した調達計画を立案(オリジナル名称)
LP_proc_12,供給計画依存(時系列&配分率&制約考慮),CC004,AC006,,,供給計画、時系列安全在庫、配分率を考慮した調達計画を立案(オリジナル名称)
LP_proc_13,販売計画依存(時系列&配分率&品目カテゴリ制約考慮),CC002,AC006,,,販売計画、時系列安全在庫、配分率、品目カテゴリ制約を考慮した調達計画を立案(オリジナル名称)
LP_proc_14,生産計画依存(時系列&配分率&品目カテゴリ制約考慮),CC003,AC006,,,生産計画、時系列安全在庫、配分率、品目カテゴリ制約を考慮した調達計画を立案(オリジナル名称)
LP_proc_15,供給計画依存(時系列&配分率&品目カテゴリ制約考慮),CC004,AC006,,,供給計画、時系列安全在庫、配分率、品目カテゴリ制約を考慮した調達計画を立案(オリジナル名称)
LP_proc_16,販売計画依存(安全在庫は通常輸送手段で調達),CC002,AC006,,,販売計画および安全在庫を考慮した調達計画を立案(安全在庫は通常輸送手段で調達)(オリジナル名称)
LP_proc_17,生産計画依存(安全在庫は通常輸送手段で調達),CC003,AC006,,,生産計画および安全在庫を考慮した調達計画を立案(安全在庫は通常輸送手段で調達)(オリジナル名称)
LP_proc_18,供給計画依存(安全在庫は通常輸送手段で調達),CC004,AC006,,,供給計画および安全在庫を考慮した調達計画を立案(安全在庫は通常輸送手段で調達)(オリジナル名称)
LP_proc_19,失注考慮調達計画(販売計画依存),CC002,AC006,,,販売計画および安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_19,失注考慮調達計画(生産計画依存),CC003,AC006,,,生産計画および安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_19,失注考慮調達計画(供給計画依存),CC004,AC006,,,供給計画および安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_20,失注考慮調達計画(販売計画&安全在庫依存(時系列考慮)),CC002,AC006,,,販売計画および時系列安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_20,失注考慮調達計画(生産計画&安全在庫依存(時系列考慮)),CC003,AC006,,,販売計画および時系列安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_20,失注考慮調達計画(供給計画&安全在庫依存(時系列考慮)),CC004,AC006,,,販売計画および時系列安全在庫、失注を考慮した調達計画を立案(オリジナル名称)
LP_proc_21,販売計画&安全在庫依存(時系列&配分率&時分単位考慮『まで』処理(定時内輸送優先)),CC002,AC006,,,販売計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『まで』処理(定時内輸送優先))(オリジナル名称)
LP_proc_21,供給計画&安全在庫依存(時系列&配分率&時分単位考慮『まで』処理(定時内輸送優先)),CC003,AC006,,,供給計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『まで』処理(定時内輸送優先))(オリジナル名称)
LP_proc_21,生産計画&安全在庫依存(時系列&配分率&時分単位考慮『まで』処理(定時内輸送優先)),CC004,AC006,,,生産計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『まで』処理(定時内輸送優先))(オリジナル名称)
LP_proc_21,加工/検査計画&安全在庫依存(時系列&配分率&時分単位考慮『まで』処理(定時内輸送優先)),CC009,AC006,,,加工/検査計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『まで』処理(定時内輸送優先))(オリジナル名称)
LP_proc_22,販売計画&安全在庫依存(時系列&配分率&時分単位考慮『から』処理(定時後輸送優先)),CC002,AC006,,,販売計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『から』処理(定時後輸送優先))
LP_proc_22,供給計画&安全在庫依存(時系列&配分率&時分単位考慮『から』処理(定時後輸送優先)),CC003,AC006,,,供給計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『から』処理(定時後輸送優先))
LP_proc_22,生産計画&安全在庫依存(時系列&配分率&時分単位考慮『から』処理(定時後輸送優先)),CC004,AC006,,,生産計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮『から』処理(定時後輸送優先))
LP_proc_22,加工/検査計画&安全在庫依存(時系列&配分率&時分単位考慮『から』処理(定時後輸送優先)),CC009,AC006,,,加工/検査計画、時系列安全在庫、配分率を考慮した調達計画を立案(時分単位考慮)
LO_ExtApp,調達計画:外部アプリ連携,CC002,AC006,,,外部アプリ結果参照調達計画作成(オリジナル名称)
LO_ExtApp,調達計画:外部アプリ連携,CC003,AC006,,,外部アプリ結果参照調達計画作成(オリジナル名称)
LO_ExtApp,調達計画:外部アプリ連携,CC004,AC006,,,外部アプリ結果参照調達計画作成(オリジナル名称)
LO_ExtApp,調達計画:外部アプリ連携,CC009,AC006,,,外部アプリ結果参照調達計画作成(オリジナル名称)
Procure_RefSalesPlan&SafetyStock,販売計画&安全在庫依存,CC002,AC006,,,販売計画および安全在庫を考慮した調達計画を立案(安全在庫は緊急輸送含む輸送手段で調達)(LP_proc_01)
Procure_RefProdPlan&SafetyStock,生産計画&部品安全在庫依存,CC003,AC006,,,生産計画および安全在庫を考慮した調達計画を立案(安全在庫は緊急輸送含む輸送手段で調達)(LP_proc_02)
